<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1998.05.19	136.320	136.800	135.550	136.400	8907	0	50
1998.05.20	136.470	136.700	135.610	136.010	7999	0	50
1998.05.21	136.150	136.150	134.740	134.850	6030	0	50
1998.05.22	134.800	136.180	134.800	135.730	5223	0	50
1998.05.25	136.520	137.330	136.150	137.070	2931	0	50
1998.05.26	137.010	138.120	136.900	137.870	10555	0	50
1998.05.27	137.830	138.060	137.150	137.400	10242	0	50
1998.05.28	137.400	139.000	136.750	138.800	6737	0	50
1998.05.29	138.770	139.300	138.300	138.850	6407	0	50
1998.06.01	138.700	139.800	138.400	139.700	5633	0	50
1998.06.02	139.650	139.900	138.450	138.760	10067	0	50
1998.06.03	138.670	139.000	137.400	138.750	10068	0	50
1998.06.04	138.650	138.790	137.910	138.420	12336	0	50
1998.06.05	138.430	140.010	138.200	139.700	11919	0	50
1998.06.08	139.850	140.810	139.700	140.670	12084	0	50
1998.06.09	140.640	141.300	139.780	140.200	12043	0	50
1998.06.10	140.200	141.730	140.100	141.480	14538	0	50
1998.06.11	141.440	144.020	140.900	143.760	13409	0	50
1998.06.12	143.720	144.800	143.510	144.330	14383	0	50
1998.06.15	144.250	146.700	144.180	146.130	11121	0	50
1998.06.16	146.200	146.830	142.500	143.350	12911	0	50
1998.06.17	143.350	144.190	136.000	136.780	13553	0	50
1998.06.18	136.910	138.320	135.400	137.840	12777	0	50
1998.06.19	137.700	137.930	133.650	136.050	11386	0	50
1998.06.22	138.010	138.950	137.100	138.100	10172	0	50
1998.06.23	138.120	139.600	137.300	139.320	10628	0	50
1998.06.24	139.360	141.550	138.900	141.230	12162	0	50
1998.06.25	141.210	142.400	140.520	142.070	10226	0	50
1998.06.26	142.150	143.070	141.100	142.250	10512	0	50
1998.06.29	142.650	143.400	141.350	141.720	10010	0	50
1998.06.30	141.620	142.430	137.750	138.870	12023	0	50
1998.07.01	138.920	139.050	137.430	137.900	9675	0	50
1998.07.02	137.850	141.840	137.800	140.950	11386	0	50
1998.07.03	140.850	140.930	138.600	139.400	9492	0	50
1998.07.06	140.600	140.930	139.650	140.160	10000	0	50
1998.07.07	140.150	140.220	138.230	138.650	9663	0	50
1998.07.08	138.670	139.990	138.080	139.380	10761	0	50
1998.07.09	139.470	141.550	139.300	141.070	10546	0	50
1998.07.10	141.020	141.780	140.150	141.020	9010	0	50
1998.07.13	143.040	144.400	140.400	141.150	10399	0	50
1998.07.14	141.050	141.700	139.380	139.980	10092	0	50
1998.07.15	140.080	141.400	139.900	140.510	10673	0	50
1998.07.16	140.500	140.920	138.830	140.050	10295	0	50
1998.07.17	140.050	140.190	138.580	139.500	9588	0	50
1998.07.20	139.240	139.630	138.530	138.840	7314	0	50
1998.07.21	138.850	140.550	138.830	140.350	9480	0	50
1998.07.22	140.420	141.320	140.100	141.170	9786	0	50
1998.07.23	141.200	142.200	140.530	141.320	11464	0	50
1998.07.24	141.250	141.780	140.180	141.650	9748	0	50
1998.07.27	141.550	142.550	141.380	142.400	6162	0	50
1998.07.28	142.430	142.800	140.980	141.320	7381	0	50
1998.07.29	141.340	143.000	140.750	142.450	6366	0	50
1998.07.30	142.520	143.950	141.680	143.720	6618	0	50
1998.07.31	143.770	144.930	143.450	144.540	7087	0	50
1998.08.03	144.850	146.000	144.550	145.600	7688	0	50
1998.08.04	145.600	146.050	144.200	145.030	9237	0	50
1998.08.05	144.980	145.100	143.350	143.890	8611	0	50
1998.08.06	143.850	145.090	143.580	144.510	9722	0	50
1998.08.07	144.580	146.970	144.320	146.240	10598	0	50
1998.08.10	146.230	146.870	146.000	146.280	8252	0	50
1998.08.11	146.300	147.710	146.000	147.260	9651	0	50
1998.08.12	147.240	147.410	144.890	146.070	10683	0	50
