<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.06.07	1.52400	1.52490	1.51910	1.52160	3660	0	50
2001.06.08	1.52170	1.52300	1.51720	1.51850	3231	0	50
2001.06.11	1.51900	1.52090	1.51510	1.51910	3067	0	50
2001.06.12	1.51930	1.52730	1.51830	1.52360	4156	0	50
2001.06.13	1.52360	1.52590	1.51550	1.51730	3181	0	50
2001.06.14	1.51710	1.52390	1.51410	1.51950	3997	0	50
2001.06.15	1.51970	1.52980	1.51860	1.52410	4017	0	50
2001.06.18	1.52420	1.53530	1.52370	1.53420	3793	0	50
2001.06.19	1.53420	1.53620	1.53050	1.53450	3901	0	50
2001.06.20	1.53440	1.53790	1.52950	1.53340	3694	0	50
2001.06.21	1.53310	1.53430	1.52170	1.52310	4327	0	50
2001.06.22	1.52300	1.52990	1.52170	1.52260	3805	0	50
2001.06.25	1.52250	1.52270	1.51490	1.51720	3965	0	50
2001.06.26	1.51750	1.52050	1.51320	1.51750	4141	0	50
2001.06.27	1.51730	1.51920	1.51000	1.51700	5097	0	50
2001.06.28	1.51690	1.52550	1.51310	1.52320	4653	0	50
2001.06.29	1.52300	1.52510	1.51230	1.51560	4415	0	50
2001.07.02	1.51410	1.51670	1.51260	1.51410	2856	0	50
2001.07.03	1.51450	1.51510	1.50690	1.51120	3258	0	50
2001.07.04	1.51140	1.51210	1.50760	1.51110	2882	0	50
2001.07.05	1.51100	1.51430	1.50740	1.51330	3463	0	50
2001.07.06	1.51350	1.52360	1.51140	1.52270	4409	0	50
2001.07.09	1.52300	1.52370	1.51710	1.52130	4833	0	50
2001.07.10	1.52110	1.52410	1.51830	1.51940	5110	0	50
2001.07.11	1.51980	1.52910	1.51800	1.52620	6837	0	50
2001.07.12	1.52650	1.53350	1.52320	1.53350	5284	0	50
2001.07.13	1.53330	1.54150	1.53130	1.53650	5612	0	50
2001.07.16	1.53660	1.54300	1.53600	1.53730	4240	0	50
2001.07.17	1.53690	1.54140	1.53400	1.53820	4966	0	50
2001.07.18	1.53810	1.54190	1.53230	1.53810	6446	0	50
2001.07.19	1.53760	1.54440	1.53510	1.54110	7870	0	50
2001.07.20	1.54110	1.54750	1.53970	1.54330	5610	0	50
2001.07.23	1.54280	1.54700	1.54140	1.54440	5318	0	50
2001.07.24	1.54410	1.54480	1.53740	1.54040	5914	0	50
2001.07.25	1.54050	1.54100	1.53550	1.53680	4924	0	50
2001.07.26	1.53720	1.53880	1.53080	1.53340	5792	0	50
2001.07.27	1.53330	1.53670	1.52910	1.53130	4489	0	50
2001.07.30	1.53230	1.53470	1.52860	1.52950	3830	0	50
2001.07.31	1.52960	1.53450	1.52510	1.53320	5551	0	50
2001.08.01	1.53350	1.53790	1.53270	1.53630	5334	0	50
2001.08.02	1.53610	1.54170	1.53270	1.53450	5335	0	50
2001.08.03	1.53450	1.53690	1.52860	1.52880	4973	0	50
2001.08.06	1.52910	1.53080	1.52310	1.52610	4380	0	50
2001.08.07	1.52600	1.53600	1.52510	1.53560	5353	0	50
2001.08.08	1.53510	1.53620	1.53030	1.53370	4241	0	50
2001.08.09	1.53380	1.54110	1.53250	1.53910	3766	0	50
2001.08.10	1.53890	1.54380	1.53820	1.53920	4079	0	50
2001.08.13	1.53930	1.54020	1.53680	1.53830	3622	0	50
2001.08.14	1.53820	1.54180	1.53520	1.53600	4333	0	50
2001.08.15	1.53590	1.53720	1.52560	1.52790	4804	0	50
2001.08.16	1.52810	1.53920	1.52500	1.53780	4807	0	50
2001.08.17	1.53770	1.54460	1.53450	1.54270	5012	0	50
2001.08.20	1.54290	1.54740	1.54180	1.54480	4503	0	50
2001.08.21	1.54460	1.55060	1.54320	1.54790	4197	0	50
2001.08.22	1.54820	1.55000	1.54080	1.54200	4142	0	50
2001.08.23	1.54190	1.54360	1.53940	1.53950	4075	0	50
2001.08.24	1.54000	1.54230	1.53730	1.53930	3616	0	50
2001.08.27	1.53950	1.54400	1.53900	1.54010	3164	0	50
2001.08.28	1.54060	1.54440	1.53780	1.53900	4133	0	50
